Channel,Product,Smoker,Joint?,Person1 Age,Term,TotalPremium,Sale,JF (Score),EF (No. of people not same surname at current address),ND (Months since last CCJ)
CTM,Level,Y,Y,38.0,20,36.22,0,477,1,1
CTM,Level accelerated,Y,N,47.0,10,29.36,0,562,0,1
Direct,Decreasing with CI,N,Y,47.0,10,20.0,0,472,0,0
MSM,Level with CI,Y,N,37.0,5,20.0,0,472,0,0
Direct,Level with CI,N,Y,35.0,20,22.41,0,563,0,1
CTM,Decreasing with CI,N,N,59.0,30,18.03,0,563,0,1
CTM,Decreasing with CI,Y,N,47.0,30,19.69,0,563,0,1
CTM,Decreasing accelerated,Y,Y,34.0,30,14.66,0,563,0,1
MSM,Decreasing with CI,Y,N,43.0,10,28.82,0,560,0,1
CTM,Decreasing with CI,Y,N,34.0,20,28.82,0,560,0,1
MSM,Level with CI,Y,Y,49.0,40,43.15,0,565,0,1
MSM,Decreasing with CI,Y,Y,42.0,20,11.05,1,558,0,1
CTM,Level with CI,Y,Y,44.0,30,8.22,1,558,0,1
Direct,Decreasing,N,N,45.0,30,8.22,1,558,0,1
CTM,Level with CI,Y,Y,45.0,5,8.0,1,558,0,1
CTM,Level with CI,Y,N,36.0,20,8.22,1,558,0,1
CTM,Decreasing with CI,Y,N,62.0,20,68.55,0,569,0,1
MSM,Decreasing with CI,Y,N,44.0,20,56.96,0,569,0,1
Direct,Decreasing,Y,N,50.0,30,79.48,0,569,0,1
CTM,Decreasing with CI,N,N,46.0,10,35.67,0,569,0,1
Direct,Decreasing,Y,N,48.0,10,24.08,0,569,0,1
MSM,Level,N,Y,52.0,10,10.27,0,558,0,1
CTM,Level with CI,Y,N,64.0,30,8.38,0,558,0,1
CTM,Decreasing,N,N,55.0,30,8.35,0,523,0,1
Direct,Decreasing with CI,N,N,33.0,15,22.41,0,563,0,1
Direct,Decreasing with CI,N,Y,44.0,5,18.03,0,563,0,1
Direct,Level,Y,Y,35.0,20,18.03,0,563,0,1
CTM,Level,N,N,43.0,30,19.69,0,563,0,1
CTM,Level,Y,N,37.0,20,14.66,0,563,0,1
Direct,Decreasing,Y,N,59.0,20,14.66,0,563,0,1
CTM,Level,Y,Y,35.0,20,14.66,0,563,0,1
CTM,Decreasing accelerated,N,N,52.0,5,28.8,0,516,1,1
CTM,Decreasing with CI,Y,Y,45.0,5,28.8,0,516,1,1
CTM,Decreasing with CI,N,Y,45.0,20,28.8,0,516,1,1
Direct,Level with CI,Y,N,29.0,20,23.36,0,471,1,1
Direct,Decreasing,N,N,38.0,5,23.36,0,471,1,1
Direct,Level,N,N,49.0,20,23.36,0,471,1,1
Direct,Decreasing,N,Y,60.0,30,20.16,0,471,1,1
Direct,Level,Y,N,52.0,20,65.88,0,9999,1,1
CTM,Decreasing with CI,Y,Y,47.0,20,65.88,0,9999,1,1
Direct,Decreasing,Y,N,58.0,30,12.0,0,573,0,1
Direct,Level,N,N,44.0,20,31.76,1,580,0,1
CTM,Level,Y,Y,41.0,20,46.24,1,580,0,1
