Channel,Product,Smoker,Joint?,Person1 Age,Term,TotalPremium,Sale,JF (Score),EF (No. of people not same surname at current address),ND (Months since last CCJ)
CTM,Level,Y,Y,38.0,20,36.22,N,477,-999997.0,
CTM,Level accelerated,Y,N,47.0,10,29.36,N,562,3.0,-999997.0
Direct,Decreasing with CI,N,Y,47.0,10,20.0,N,472,4.0,12.0
MSM,Level with CI,Y,N,37.0,5,20.0,N,472,4.0,12.0
Direct,Level with CI,N,Y,35.0,20,22.41,N,563,2.0,-999997.0
CTM,Decreasing with CI,N,N,59.0,30,18.03,N,563,2.0,-999997.0
CTM,Decreasing with CI,Y,N,47.0,30,19.69,N,563,2.0,-999997.0
CTM,Decreasing accelerated,Y,Y,34.0,30,14.66,N,563,2.0,-999997.0
MSM,Decreasing with CI,Y,N,43.0,10,28.82,N,560,5.0,-999997.0
CTM,Decreasing with CI,Y,N,34.0,20,28.82,N,560,5.0,-999997.0
MSM,Level with CI,Y,Y,49.0,40,43.15,N,565,6.0,-999997.0
MSM,Decreasing with CI,Y,Y,42.0,20,11.05,Y,558,6.0,-999997.0
CTM,Level with CI,Y,Y,44.0,30,8.22,Y,558,6.0,-999997.0
Direct,Decreasing,N,N,45.0,30,8.22,Y,558,6.0,-999997.0
CTM,Level with CI,Y,Y,45.0,5,8.0,Y,558,6.0,-999997.0
CTM,Level with CI,Y,N,36.0,20,8.22,Y,558,6.0,-999997.0
CTM,Decreasing with CI,Y,N,62.0,20,68.55,N,569,12.0,-999997.0
MSM,Decreasing with CI,Y,N,44.0,20,56.96,N,569,12.0,-999997.0
Direct,Decreasing,Y,N,50.0,30,79.48,N,569,12.0,-999997.0
CTM,Decreasing with CI,N,N,46.0,10,35.67,N,569,12.0,-999997.0
Direct,Decreasing,Y,N,48.0,10,24.08,N,569,12.0,-999997.0
MSM,Level,N,Y,52.0,10,10.27,N,558,3.0,-999997.0
CTM,Level with CI,Y,N,64.0,30,8.38,N,558,3.0,-999997.0
CTM,Decreasing,N,N,55.0,30,8.35,N,523,13.0,-999997.0
