Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.9188034188034188,0.9086646661665416,,0.9197782011118087,0.26104307174682617
BaggingClassifier,0.8888888888888888,0.8522130532633159,,0.8882992724554365,0.08901619911193848
RandomForestClassifier,0.9017094017094017,0.8454613653413354,,0.8984481581265827,0.3095521926879883
DecisionTreeClassifier,0.8376068376068376,0.8276444111027756,,0.842399468486425,0.041005849838256836
LabelSpreading,0.8376068376068376,0.8276444111027756,,0.842399468486425,0.09601640701293945
LabelPropagation,0.8333333333333334,0.8247374343585896,,0.8385267469914646,0.11752033233642578
NuSVC,0.8376068376068376,0.8018567141785446,,0.8391889768728005,0.07351136207580566
AdaBoostClassifier,0.8333333333333334,0.7886346586646662,,0.8337570456754131,0.23504137992858887
ExtraTreesClassifier,0.8589743589743589,0.7854463615903976,,0.853283794460265,0.2645454406738281
KNeighborsClassifier,0.8205128205128205,0.779913728432108,,0.8222615007541478,0.06901121139526367
LinearDiscriminantAnalysis,0.7777777777777778,0.6528507126781695,,0.7583574879227052,0.0420079231262207
RidgeClassifier,0.7735042735042735,0.6344711177794449,,0.7477386668017401,0.03600645065307617
NearestCentroid,0.6111111111111112,0.6323143285821455,,0.6339324990519529,0.03050541877746582
LogisticRegression,0.7521367521367521,0.630251312828207,,0.7351131774208698,0.0950164794921875
LinearSVC,0.7521367521367521,0.6250937734433608,,0.7328558437526616,0.07001399993896484
ExtraTreeClassifier,0.6837606837606838,0.6146849212303076,,0.6895789395789396,0.03150606155395508
RidgeClassifierCV,0.7606837606837606,0.6102775693923481,,0.7292472149086395,0.04500699043273926
BernoulliNB,0.7051282051282052,0.6034321080270068,,0.6992475710424427,0.03000330924987793
CalibratedClassifierCV,0.7564102564102564,0.5867404351087772,,0.7129299922419259,0.24404311180114746
GaussianNB,0.3974358974358974,0.579801200300075,,0.35618088391701586,0.02900528907775879
QuadraticDiscriminantAnalysis,0.33760683760683763,0.5494186046511628,,0.24998869443313887,0.03450727462768555
PassiveAggressiveClassifier,0.7350427350427351,0.525787696924231,,0.6567599067599067,0.03600668907165527
SGDClassifier,0.32051282051282054,0.52231807951988,,0.23601840287723064,0.043007850646972656
DummyClassifier,0.7350427350427351,0.5,,0.6227948296913814,0.03250527381896973
SVC,0.7350427350427351,0.5,,0.6227948296913814,0.07901382446289062
Perceptron,0.7264957264957265,0.4993435858964741,,0.6260500141097156,0.033005714416503906
