,name,coefficients
21,categorical_low__OnlineBackup_No internet service,0.0
18,categorical_low__OnlineSecurity_No internet service,0.0
39,categorical_low__PaperlessBilling_Yes,0.0
33,categorical_low__StreamingMovies_No internet service,0.0
27,categorical_low__TechSupport_No internet service,0.0
6,categorical_low__gender_Male,0.0
16,categorical_low__InternetService_No,0.0
8,categorical_low__Partner_Yes,0.0
28,categorical_low__TechSupport_Yes,0.0
10,categorical_low__Dependents_Yes,0.0
24,categorical_low__DeviceProtection_No internet service,0.0
12,categorical_low__MultipleLines_No phone service,0.0
30,categorical_low__StreamingTV_No internet service,0.0
25,categorical_low__DeviceProtection_Yes,0.005912802
23,categorical_low__DeviceProtection_No,0.006276808
29,categorical_low__StreamingTV_No,0.0062793866
7,categorical_low__Partner_No,0.006599157
41,categorical_low__PaymentMethod_Credit card (automatic),0.0069895857
31,categorical_low__StreamingTV_Yes,0.0071642674
40,categorical_low__PaymentMethod_Bank transfer (automatic),0.007527914
5,categorical_low__gender_Female,0.008179725
20,categorical_low__OnlineBackup_No,0.008489574
32,categorical_low__StreamingMovies_No,0.008980031
0,numeric__SeniorCitizen,0.009344246
4,numeric__TotalCharges,0.009745913
3,numeric__MonthlyCharges,0.009878403
9,categorical_low__Dependents_No,0.010358234
42,categorical_low__PaymentMethod_Electronic check,0.010580929
43,categorical_low__PaymentMethod_Mailed check,0.010640641
13,categorical_low__MultipleLines_Yes,0.011904585
38,categorical_low__PaperlessBilling_No,0.012239357
11,categorical_low__MultipleLines_No,0.012617197
22,categorical_low__OnlineBackup_Yes,0.0127389105
19,categorical_low__OnlineSecurity_Yes,0.013080102
1,numeric__tenure,0.015699856
2,numeric__PhoneService,0.015734239
36,categorical_low__Contract_One year,0.016407775
14,categorical_low__InternetService_DSL,0.017297637
34,categorical_low__StreamingMovies_Yes,0.02002673
26,categorical_low__TechSupport_No,0.020959731
17,categorical_low__OnlineSecurity_No,0.022697482
37,categorical_low__Contract_Two year,0.024959438
15,categorical_low__InternetService_Fiber optic,0.31593996
35,categorical_low__Contract_Month-to-month,0.3347494
